face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/pfs/data6/home/ul/ul_student/ul_eod61/FairFace/detected_faces/906075_face0.jpg,White,White,Male,30-39,"[9.9954623e-01 4.7377953e-06 2.8342765e-04 1.1588757e-05 2.8882758e-05
 5.9131585e-06 1.1915355e-04]",[9.9954146e-01 1.3643784e-04 2.8873462e-04 3.3318203e-05],[1.0000000e+00 1.0376123e-08],"[3.7337918e-06 5.8074915e-05 3.7090697e-03 3.2824954e-01 5.4941493e-01
 1.1345089e-01 5.0596064e-03 5.3101932e-05 9.9880720e-07]"
/pfs/data6/home/ul/ul_student/ul_eod61/FairFace/detected_faces/313264_face0.jpg,White,White,Male,30-39,"[9.9953473e-01 8.4325677e-07 4.5192533e-05 1.1916427e-06 3.4470609e-06
 9.1460311e-07 4.1372993e-04]",[9.9994898e-01 2.3778088e-05 1.5707967e-05 1.1555477e-05],[9.9999976e-01 2.2495291e-07],"[7.2866976e-07 8.2058532e-06 6.5752125e-04 1.6671799e-01 7.1817982e-01
 1.1266963e-01 1.7544571e-03 1.1374618e-05 3.2294400e-07]"
/pfs/data6/home/ul/ul_student/ul_eod61/FairFace/detected_faces/280737_face0.jpg,Middle Eastern,White,Male,30-39,"[2.7979532e-01 6.8406225e-04 1.0938408e-02 4.4680790e-05 1.6833113e-04
 6.2843127e-04 7.0774078e-01]",[9.9614304e-01 2.4443557e-03 1.7169454e-04 1.2408569e-03],[9.9954593e-01 4.5406265e-04],"[1.2588845e-06 1.8503202e-05 2.8240089e-03 3.9361361e-01 5.7254803e-01
 3.0584447e-02 4.0052037e-04 9.3597282e-06 2.4624441e-07]"
/pfs/data6/home/ul/ul_student/ul_eod61/FairFace/detected_faces/1112796_face0.jpg,Black,Black,Male,30-39,"[5.7050295e-04 8.7894416e-01 9.0416580e-02 2.0071393e-05 6.5694225e-04
 2.5291201e-02 4.1005374e-03]",[1.6295064e-04 9.8703957e-01 1.6341184e-03 1.1163356e-02],[1.000000e+00 1.657774e-08],"[2.7704812e-07 6.8168288e-06 2.8949808e-03 3.7135819e-01 5.1752883e-01
 1.0537978e-01 2.8023336e-03 2.8510913e-05 3.1746794e-07]"
/pfs/data6/home/ul/ul_student/ul_eod61/FairFace/detected_faces/1464649_face0.jpg,Latino_Hispanic,Black,Male,20-29,"[4.7211166e-02 1.6618401e-02 5.5308717e-01 6.0134025e-05 4.9971970e-04
 1.7761671e-03 3.8074717e-01]",[0.02606114 0.94724464 0.0019022  0.02479197],[9.9999923e-01 8.1355466e-07],"[5.9551198e-08 2.1349499e-05 5.0858799e-02 8.8532710e-01 6.2499352e-02
 1.2845435e-03 8.4365283e-06 2.9099638e-07 4.1793884e-09]"
/pfs/data6/home/ul/ul_student/ul_eod61/FairFace/detected_faces/1394004_face0.jpg,Black,Black,Male,20-29,"[1.1052415e-06 9.9996006e-01 4.3564787e-06 1.4301725e-08 2.5470277e-07
 3.3307944e-05 7.6163610e-07]",[5.6840408e-06 9.9997807e-01 2.1307428e-06 1.4047707e-05],[9.9999964e-01 3.8604571e-07],"[2.0591595e-09 8.5713509e-07 3.2528045e-03 7.7710289e-01 2.1485041e-01
 4.7576451e-03 3.5180263e-05 1.8005018e-07 4.7324571e-09]"
/pfs/data6/home/ul/ul_student/ul_eod61/FairFace/detected_faces/868958_face0.jpg,Black,Black,Male,30-39,"[1.1446469e-05 9.9990737e-01 4.5834891e-05 1.9925961e-08 3.8354571e-07
 1.8250868e-05 1.6669432e-05]",[2.1107764e-06 9.9999493e-01 1.5428705e-06 1.3279756e-06],[9.999999e-01 7.120232e-08],"[8.8305683e-08 2.5476263e-06 5.4126140e-04 3.5497761e-01 6.0329938e-01
 4.0663309e-02 5.1084755e-04 4.7738531e-06 1.3595447e-07]"
/pfs/data6/home/ul/ul_student/ul_eod61/FairFace/detected_faces/855847_face0.jpg,White,White,Male,20-29,"[9.8500019e-01 1.7593835e-05 7.9617556e-04 5.8640808e-06 1.1642877e-05
 2.1081709e-05 1.4147485e-02]",[9.9933338e-01 2.1477707e-04 9.0458125e-05 3.6135010e-04],[9.9999976e-01 2.7739540e-07],"[5.6153983e-08 4.2117237e-05 1.5775213e-02 9.1528159e-01 6.8059750e-02
 8.3979068e-04 1.4782519e-06 1.6384655e-08 2.2830861e-10]"
/pfs/data6/home/ul/ul_student/ul_eod61/FairFace/detected_faces/14570_face0.jpg,Latino_Hispanic,White,Male,30-39,"[1.15958326e-01 2.91673467e-03 8.24179828e-01 1.00589219e-04
 4.51674190e-04 3.27013643e-03 5.31226918e-02]",[0.57165915 0.39316055 0.00812911 0.02705123],[9.999993e-01 7.109751e-07],"[9.1543779e-07 5.1931679e-06 9.9906418e-04 4.5899101e-02 4.9601355e-01
 4.1720715e-01 3.9428525e-02 4.4404724e-04 2.4143771e-06]"
/pfs/data6/home/ul/ul_student/ul_eod61/FairFace/detected_faces/1153345_face0.jpg,White,White,Male,20-29,"[9.1183370e-01 3.7271526e-05 5.9162714e-02 1.5331114e-05 5.5519929e-05
 5.9466558e-05 2.8835971e-02]",[9.9813372e-01 2.9304123e-04 7.3153334e-04 8.4167090e-04],[9.9999714e-01 2.8600243e-06],"[1.69429086e-07 5.05672870e-05 3.33894491e-02 8.75612557e-01
 8.96574929e-02 1.28381443e-03 5.75568265e-06 1.02901446e-07
 1.46082502e-09]"
