"","ID","black","Skin3","race4"
"1","46714",0,"Medium","White"
"2","131815",0,"White","White"
"3","19063",0,"White","White"
"4","13204",0,"Medium","Black"
"5","131716",0,"White","White"
"6","156019",1,"Black",NA
"7","147269",0,"Medium","White"
"8","17966",0,"White","White"
"9","928124",0,"White","White"
"10","126699",0,"Medium","White"
"11","26991",1,"Black","Black"
"12","43903",0,"Medium","White"
"13","186845",0,"White",NA
"14","802149",1,"Black","Black"
"15","50490",0,"White","White"
"16","137667",0,"White","White"
"17","15444",0,"White","White"
"18","2009",0,"White","White"
"19","84854",1,"Black","Black"
"20","4726",0,"Medium","White"
"21","27678",0,"White","White"
"22","5846",1,"Black","Black"
"23","47908",1,"Black","Black"
"24","19438",0,"White","White"
"25","750",0,"Medium","Black"
"26","250737",0,"White","White"
"27","47743",1,"Black","Black"
"28","294597",0,"White","White"
"29","329519",0,"White",NA
"30","844480",0,"White","White"
"31","836168",0,"White","White"
"32","158241",0,"Medium",NA
"33","357756",0,"White","White"
"34","590262",0,"White","White"
"35","39482",0,"Medium","White"
"36","587628",0,"Medium","White"
"37","893640",0,"Medium","White"
"38","832208",0,"White","White"
"39","845386",0,"White","White"
"40","8713",1,"Black","Black"
"41","249629",0,"Medium","White"
"42","5712",0,"White","White"
"43","592794",0,"White","White"
"44","153257",0,"Medium","White"
"45","41234",0,"Medium","White"
"46","126071",1,"Black","Black"
"47","99546",0,"White","White"
"48","40965",0,"White","Asian"
"49","138605",0,"White","White"
"50","158277",0,"Medium",NA
"51","106258",0,"White","White"
"52","784655",0,"White","White"
"53","32493",0,"Medium","White"
"54","133236",0,"Medium","White"
"55","838232",0,"White","White"
"56","136322",0,"Medium","White"
"57","263651",0,"White","White"
"58","880207",0,"Medium","Black"
"59","338991",0,"Medium",NA
"60","331405",1,"Black",NA
"61","44848",0,"White","White"
"62","42147",0,"White","White"
"63","548178",0,"Medium","White"
"64","191188",1,"Black",NA
"65","814589",0,"White","White"
"66","587962",0,"Medium","White"
"67","249399",0,"White","White"
"68","55314",0,"White","White"
"69","824509",0,"Medium","Indian"
"70","318607",0,"White",NA
"71","34125",0,"White","White"
"72","227864",0,"Medium",NA
"73","67769",0,"Medium","Black"
"74","89510",0,"Medium","White"
"75","135700",0,"Medium","White"
"76","839981",0,"Medium","Black"
"77","96370",0,"White","White"
"78","188405",0,"White",NA
"79","359226",1,"Black","Black"
"80","851284",1,"Black","Black"
"81","823733",0,"Medium","Black"
"82","76095",0,"White","White"
"83","826707",0,"Medium","White"
"84","131108",0,"White","White"
"85","10122",0,"White","White"
"86","98212",0,"Medium","Indian"
"87","589620",0,"White","White"
"88","44001",0,"White","Asian"
"89","49406",0,"White","White"
"90","15635",0,"White","White"
"91","132704",0,"White","White"
"92","123208",1,"Black","Black"
"93","187121",0,"White",NA
"94","122711",0,"White","White"
"95","41448",0,"Medium","Indian"
"96","97978",0,"White","White"
"97","184421",0,"Medium",NA
"98","783716",0,"White","White"
"99","249251",0,"White","Black"
"100","130801",0,"White","Black"
"101","146613",0,"White","White"
"102","892673",0,"White","White"
"103","5544",0,"White","White"
"104","325129",0,"White",NA
"105","801280",1,"Black","Black"
"106","126963",0,"White","White"
"107","151960",0,"White","White"
"108","11657",0,"White","White"
"109","43970",0,"White","White"
"110","332155",0,"White",NA
"111","893642",0,"White","White"
"112","288321",0,"White","White"
"113","32040",0,"White","White"
"114","287573",0,"White","White"
"115","6557",0,"Medium","White"
"116","41157",0,"White","White"
"117","139267",0,"Medium","White"
"118","293581",0,"Medium","Indian"
"119","187119",0,"White",NA
"120","18083",0,"Medium","White"
"121","359272",0,"Medium","Black"
"122","138165",0,"Medium","Black"
"123","44906",0,"White","White"
"124","804434",0,"Medium","Asian"
"125","39348",1,"Black","Black"
"126","97404",1,"Black","Black"
"127","235400",0,"Medium","White"
"128","822468",1,"Black","Black"
"129","29746",0,"Medium","White"
"130","793645",0,"White","White"
"131","80406",0,"White","White"
"132","100580",0,"Medium","Indian"
"133","15529",0,"Medium","White"
"134","46972",0,"White","White"
"135","100570",0,"White","White"
"136","4370",0,"Medium","White"
"137","548848",0,"White","White"
"138","152420",0,"Medium","White"
"139","27569",0,"Medium","White"
"140","108484",1,"Black","Black"
"141","26097",0,"Medium","White"
"142","186855",0,"White",NA
"143","555540",0,"Medium","White"
"144","758876",0,"Medium","White"
"145","864898",0,"White","White"
"146","851596",0,"Medium","Black"
"147","14990",0,"White","White"
"148","611210",0,"White","White"
"149","79853",0,"Medium","White"
"150","815202",0,"White","White"
"151","829932",0,"Medium","White"
"152","12673",1,"Black","Black"
"153","14251",0,"Medium","Black"
"154","19394",0,"Medium","Indian"
"155","787642",0,"White","White"
"156","10077",0,"White","White"
"157","151470",0,"White","White"
"158","541574",0,"Medium","White"
"159","826198",0,"White","White"
"160","812946",1,"Black","Black"
"161","877103",0,"Medium","Black"
"162","2695",0,"Medium","White"
"163","318603",0,"White",NA
"164","109461",0,"White","White"
"165","238408",1,"Black","Black"
"166","148745",0,"Medium","White"
"167","189135",0,"White",NA
"168","21992",0,"White","White"
"169","839818",1,"Black","Black"
"170","53816",0,"Medium","Indian"
"171","11621",0,"Medium","Black"
"172","148458",0,"Medium","White"
"173","569556",0,"White","White"
"174","851222",0,"Medium","Indian"
"175","284363",0,"White","White"
