player_id_sofascore,player.name,player.country.alpha3
156019,Hernani,BRA
186845,Alberto Grassi,ITA
329519,Bartłomiej Drągowski,POL
158241,Germán Pezzella,ARG
158277,Allan,BRA
338991,William Troost-Ekong,NGA
331405,Samir Caetano,BRA
191188,Seko Fofana,CIV
318607,Davide Calabria,ITA
227864,Alessio Romagnoli,ITA
188405,Samu Castillejo,ESP
187121,Alberto Cerri,ITA
184421,Stefano Sabelli,ITA
325129,Nikolas Špalek,SVK
332155,Amir Rrahmani,XKX
187119,Gennaro Tutino,ITA
186855,Bryan Cristante,ITA
318603,Emil Audero,ITA
189135,Karol Linetty,POL
227212,Thomas Strakosha,ALB
331447,Sergej Milinković-Savić,SRB
317301,Danilo Cataldi,ITA
328103,Francesco Vicari,ITA
320979,Federico Di Francesco,ITA
329175,Pierluigi Gollini,ITA
195850,Ruslan Malinovskyi,UKR
165583,Armando Izzo,ITA
168647,Daniele Baselli,ITA
220223,Andrea Belotti,ITA
158235,Koffi Djidji,CIV
331853,Marlon,BRA
170887,Gian Marco Ferrari,ITA
187205,Milan Škriniar,SVK
158615,Matías Vecino,URY
172599,Žan Majer,SVN
190159,André Silva,PRT
215956,Bastos,AGO
333589,Diego Laxalt,URY
341143,Giovanni Simeone,ARG
156566,Marko Pajač,HRV
327429,Alex Ferrari,ITA
183483,Andreas Cornelius,DNK
330705,Antonín Barák,CZE
176615,Mattia Sprocati,ITA
217784,Patric,ESP
189127,Mariusz Stępiński,POL
161325,Arkadiusz Milik,POL
329417,Timothy Castagne,BEL
189009,Marko Janković,MNE
176301,Marco Sportiello,ITA
227866,Federico Mattiello,ITA
335887,Filip Jagiełło,POL
183249,Biagio Meccariello,ITA
169165,Sinan Gümüş,DEU
181575,Jordan Lukaku,BEL
340525,Nehuén Paz,ARG
221738,Sebastián Cristóforo,URY
328109,Alessandro Deiola,ITA
158621,Maximiliano Olivera,URY
158573,Adama Soumaoro,FRA
311396,Gastón Pereiro,URY
325121,Lukáš Haraslín,SVK
227194,Djavan Anderson,SUR
340509,Ignacio Pussetto,ARG
319847,Ken Sema,SWE
158599,Jeison Murillo,COL
190437,Mario Pašalić,HRV
333261,Antonio Sanabria,PRY
173349,Jacopo Dezi,ITA
190435,Marko Pjaca,HRV
165735,Salvatore Molina,ITA
170499,Simy,NGA
184417,Federico Barba,ITA
171677,Ryder Matos,BRA
225132,Matteo Ricci,ITA
164511,Jean-Daniel Akpa Akpro,CIV
226972,Kiril Despodov,BGR
341495,Tomislav Gomelt,HRV
317699,Keita Baldé,SEN
336813,Wesley Hoedt,NLD
310874,Vedat Muriqi,XKX
308182,Ivan Provedel,ITA
308054,Wylan Cyprien,FRA
187841,Ahmad Benali,LBY
324353,Aleksei Miranchuk,RUS
176765,Marco Festa,ITA
316170,Gonzalo Escalante,ARG
227082,Petar Stojanović,SVN
183481,Riccardo Fiamozzi,ITA
224456,Norbert Gyömbér,SVK
335823,Paweł Jaroszyński,POL
186953,Dor Peretz,ISR
191210,Mike Maignan,FRA
309156,Caleb Ekuban,GHA
187111,Mattia Aramu,ITA
327755,Nadiem Amiri,DEU
208988,Pablo Marí,ESP
318657,Alexis Blin,FRA
158037,Matteo Bianchetti,ITA
190399,Divock Origi,BEL
319129,Luka Jović,SRB
190933,Mirko Marić,HRV
318967,Renato Sanches,PRT
338099,Przemysław Szymiński,POL
190319,George Pușcaș,ROU
190405,Leander Dendoncker,BEL
217472,Luca Verna,ITA
339867,Marco Pinato,ITA
305676,Emanuele Cicerelli,ITA
332989,Moses Odjer,GHA
171697,Massimiliano Busellato,ITA
307266,Davide Petrucci,ITA
169485,Stefano Scognamillo,ITA
184419,Michele Fornasier,ITA
222012,Simone Branca,ITA
308692,Federico Ricci,ITA
171625,Jure Balkovec,SVN
336793,Alberto Barison,ITA
168655,Mirko Gori,ITA
157641,Marcello Trotta,ITA
319029,Agostino Camigliano,ITA
326165,Luca Vido,ITA
313334,Sedrick Kalombo,ITA
183509,Davide Marsura,ITA
318601,Luca Palmiero,ITA
169585,Alberto Almici,ITA
227872,Mario Piccinocchi,ITA
202036,Manuel Marras,ITA
168747,Kingsley Boateng,ITA
209940,Achraf Lazaar,MAR
326159,Davide Vitturini,ITA
173353,Luca Antei,ITA
318605,Michael Fabbro,ITA
209082,Marcus Rohdén,SWE
313022,Cristiano Lombardi,ITA
176403,Carlo Crialese,ITA
176321,Andrea Settembrini,ITA
319309,Samuel Gustafson,SWE
317299,Luca Crecco,ITA
177295,Luca Rizzo,ITA
198156,Giovanni Di Noia,ITA
176099,Michele Nardi,ITA
185349,Amato Ciciretti,ITA
191174,Hervin Ongenda,COD
219196,Robin Simovic,SWE
173347,Cosimo Chiricò,ITA
331751,Riad Bajić,BIH
186833,Filippo Costa,ITA
228338,Leonard Žuta,MKD
176229,Giuseppe Loiacono,ITA
165743,Nicolò Bianchi,ITA
318645,Jari Vandeputte,BEL
172107,Daniele Donnarumma,ITA
185215,Igor Radrezza,ITA
327331,Davide Voltan,ITA
227828,Luca Zamparo,ITA
176167,Mattia Finotto,ITA
305664,Ivan Varone,ITA
338365,Sebastian Musiolik,POL
183685,Lukas Spendlhofer,AUT
186839,Luca Barlocco,ITA
184427,Francesco Margiotta,ITA
179887,Simone Simeri,ITA
195974,Boban Nikolov,MKD
165685,Aniello Salzano,ITA
177243,Mattia Proietti,ITA
170885,Matteo Pisseri,ITA
166221,Andrea Arrighini,ITA
165629,Dario Toninelli,ITA
202034,Tommaso Arrigoni,ITA
227620,Anthony Partipilo,ITA
318597,Andrea Palazzi,ITA
307036,Marco Bleve,ITA
158639,Ignacio Lores Varela,URY
220821,Luca Calapai,ITA
227874,Dario Del Fabro,ITA
215246,Franco Vázquez,ARG
173351,Mirko Pigliacelli,ITA
166185,Alexis Ferrante,ITA
198358,Andrea Magrassi,ITA
156024,Adryan,BRA
167855,Denis Cheryshev,RUS
316118,Tommaso Biasci,ITA
184593,Loris Bacchetti,ITA
218298,Eddy Gnahoré,FRA
168937,Niklas Süle,DEU
187433,Serge Gnabry,DEU
335033,Wendell,BRA
174341,Jannik Huth,DEU
314500,Kai Pröger,DEU
169257,Streli Mamba,DEU
163565,Robin Quaison,SWE
168909,Thomas Pledl,DEU
190917,Mijat Gaćinović,SRB
327863,Robert Skov,DNK
171961,Vincenzo Grifo,ITA
168903,Robert Andrich,DEU
190421,Tin Jedvaj,HRV
326021,Chang-Hoon Kwon,KOR
169255,Yannick Gerhardt,DEU
174345,Robin Zentner,DEU
180511,Alexandru Maxim,ROU
169233,Marlon Ritter,DEU
326325,Sebastian Schonlau,DEU
227224,Miloš Veljković,SRB
201918,Simon Falette,GIN
168801,Dennis Srbeny,DEU
169199,Kwasi Okyere Wriedt,GHA
187437,Davie Selke,DEU
227672,Jonathan Tah,DEU
163673,Klaus Gjasula,ALB
226978,Julian Brandt,DEU
156146,Florian Niederlechner,DEU
319861,Luca Waldschmidt,DEU
330099,Edimilson Fernandes,CHE
165413,Karim Onisiwo,AUT
332995,Zack Steffen,USA
190859,Lewis Baker,ENG
168943,Kenan Karaman,TUR
192268,Birger Verstraete,BEL
169113,Kingsley Schindler,GHA
192308,Alassane Pléa,FRA
168897,Christopher Lenz,DEU
319853,Lukas Klostermann,DEU
186719,Florian Grillitsch,AUT
168833,Kevin Möhwald,DEU
187423,Kevin Akpoguma,NGA
168985,Janik Haberer,DEU
341589,Mahmoud Dahoud,SYR
338651,Marcel Tisserand,COD
227900,Kevin Mbabu,CHE
184661,Leon Goretzka,DEU
171919,Mark Flekken,NLD
187313,Lucas Torró,ESP
330689,Cédric Brunner,CHE
226974,Marc-Oliver Kempf,DEU
165015,Hamadi Al Ghaddioui,MAR
319857,Benjamin Henrichs,DEU
158233,Bouna Sarr,SEN
171927,Maximilian Philipp,DEU
168987,Robert Glatzel,DEU
326643,Cedric Teuchert,DEU
309078,Alexander Sørloth,NOR
158583,Santiago Arias,COL
174135,Loris Karius,DEU
187431,Max Meyer,DEU
164171,Kevin Behrens,DEU
309546,Takuma Asano,JPN
312986,Herbert Bockhorn,UGA
157377,Silvan Widmer,CHE
187187,Jeremy Dudziak,TUN
222770,Marius Funk,DEU
187185,Marvin Schwäbe,DEU
164959,Benjamin Uphoff,DEU
184679,Andreas Linde,SWE
340719,Philipp Hofmann,DEU
177179,Jacek Góralski,POL
190161,Michael Zetterer,DEU
322529,Éder Balanta,COL
217704,Sadio Mané,SEN
328027,Serhou Guirassy,GIN
177177,Alejandro Grimaldo,ESP
168861,Marnon Busch,DEU
311676,Jonas Föhrenbach,DEU
206620,Florian Pick,DEU
187207,Matúš Bero,SVK
169249,Jannik Müller,DEU
174285,Alexander Brunst,DEU
326695,Christian Kühlwetter,DEU
337457,Kevin Broll,DEU
315514,Aleksandr Zhirov,RUS
326683,Marlon Frey,DEU
326547,Nils-Jonathan Körber,DEU
336375,Lukas Gugganig,AUT
169427,Robert Leipertz,DEU
190065,Khaled Narey,TGO
168959,Kenny Prince Redondo,DEU
171885,Maximilian Sauer,DEU
202156,Sebastian Stolze,DEU
340343,Jan-Marc Schneider,DEU
187427,Maximilian Dittgen,DEU
222464,Marvin Ajani,DEU
187435,Lukas Fröde,DEU
181889,Mats Møller Dæhli,NOR
178883,Marcos Álvarez,DEU
164963,Florian Ballas,DEU
206590,Federico Palacios,DEU
173929,Jairo Samperio,ESP
309892,Alexander Jeremejeff,SWE
339335,Joost van Aken,NLD
171897,Tobias Schwede,DEU
193462,James Lawrence,WAL
226976,Felix Lohkemper,DEU
182459,Bryan Henning,DEU
317691,Timo Letschert,NLD
313264,Henk Veerman,NLD
222086,Malcolm Cacutalua,DEU
315162,Adam Zreľák,SVK
316513,Godsway Donyoh,GHA
335357,Marvin Stefaniak,DEU
167037,Ognjen Gnjatić,BIH
169259,Danilo Wiebe,DEU
227188,Patrick Twumasi,GHA
168919,Hendrik Hansen,DEU
306230,Emil Berggreen,DNK
312908,Leonardo Koutris,GRC
168819,Philipp Mickel Klewin,DEU
319851,Leon Guwara,GMB
179209,Nico Neidhart,DEU
311664,Lukas Scherff,DEU
158649,Jan Löhmannsröben,DEU
340723,Morris Schröter,DEU
165209,Nico Antonitsch,AUT
325061,Nikola Vasilj,BIH
339269,Dries Wouters,BEL
181581,Jackson Irvine,AUS
168893,Peter Kurzweg,DEU
310770,Björn Rother,DEU
171995,Connor Krempicki,DEU
184649,Kai Eisele,DEU
190875,Jorrit Hendrix,NLD
339889,Vincent Vermeij,NLD
211116,Andreas Bouchalakis,GRC
164221,Thomas Goiginger,AUT
339447,Fabián Balbuena,PRY
190851,Callum Robinson,IRL
155997,Emerson Palmieri,ITA
335047,Yoshinori Muto,JPN
185955,Jordon Ibe,ENG
226780,Oumar Niasse,SEN
308764,Daniel Podence,PRT
318927,Joe Gomez,ENG
159665,Mohamed Salah,EGY
220315,Manuel Lanzini,ARG
158213,Riyad Mahrez,DZA
162653,Nick Pope,ENG
227946,Angus Gunn,SCO
161717,James Ward-Prowse,ENG
326343,Jean-Philippe Gbamin,CIV
193554,Will Hughes,ENG
192266,Björn Engels,BEL
189061,Jack Grealish,ENG
221200,Ricardo Pereira,PRT
331737,Youri Tielemans,BEL
173827,Jamie Vardy,ENG
192442,Raúl Jiménez,MEX
187729,Romain Saïss,MAR
185995,Paul Dummett,WAL
210082,Javier Manquillo,ESP
190843,Isaac Hayden,ENG
333373,Miguel Almirón,PRY
227942,Calum Chambers,ENG
190839,Luke Shaw,ENG
205508,Jesse Lingard,ENG
191176,Anthony Martial,FRA
186795,Andreas Christensen,DNK
174975,Arthur Masuaku,COD
331209,Bernardo Silva,PRT
216308,Adam Webster,ENG
198028,Dele Alli,ENG
164343,Paulo Gazzaniga,ARG
314040,DeAndre Yedlin,USA
166381,Charlie Taylor,ENG
188365,Héctor Bellerín,ESP
331837,Alireza Jahanbakhsh,IRN
158263,Emiliano Martínez,ARG
205028,Joe Bryan,ENG
192144,Aleksandar Mitrović,SRB
204336,Patrick Bamford,ENG
307274,Semi Ajayi,NGA
318941,Rúben Dias,PRT
218160,Bertrand Traoré,BFA
190877,Kenny Tete,NLD
197982,Conor Townsend,ENG
219572,Joël Veltman,NLD
322417,Filip Krovinović,HRV
159653,Ahmed Hegazy,EGY
312110,Alex Telles,BRA
187023,Rúnar Alex Rúnarsson,ISL
159675,Mohamed Elneny,EGY
307284,Mario Lemina,GAB
308526,Daniel Amartey,GHA
316148,Thomas Partey,GHA
197428,Danny Ward,WAL
190857,Ben Pearson,ENG
322391,Ryan Christie,SCO
186809,Emiliano Marcondes,DNK
190853,Joe Rothwell,ENG
197848,Tom Lockyer,WAL
187861,Wesley Foderingham,ENG
336655,Enes Ünal,TUR
216584,Matthew Pearson,ENG
193548,Daniel Potts,ENG
190369,George Moncur,ENG
222188,Marvin Johnson,ENG
313442,Alfie Mawson,ENG
340291,Ben Purrington,ENG
177415,Gary Gardner,ENG
338869,Kerim Mrabti,SWE
325583,Mahlon Romeo,ATG
164285,Murray Wallace,SCO
156344,Matt Smith,ENG
309218,Ben Davies,ENG
156651,Sean Maguire,IRL
190863,John Swift,ENG
209098,Modou Barrow,GMB
329425,Cameron Dawson,ENG
305314,Tommy Smith,ENG
214734,Grant Hall,ENG
328701,Ryan Manning,IRL
164291,Jay Fulton,SCO
340713,Matt Grimes,ENG
180011,Kevin Stewart,JAM
204286,Nouha Dicko,MLI
219060,Lee Evans,WAL
340621,Josh Windass,ENG
215032,Kal Naismith,SCO
184463,Joe Ralls,ENG
316196,Niclas Eliasson,SWE
193538,Matty Taylor,ENG
180009,Alex Pritchard,ENG
331219,Liam Lindsay,SCO
162863,Ryan Woods,ENG
326365,Jack Marriott,ENG
328155,Darnell Fisher,ENG
204300,Massimo Luongo,AUS
314370,Isaiah Brown,ENG
164055,Brice Samba,FRA
309290,Duane Holmes,USA
198030,Brendan Galloway,ZWE
188087,Declan John,WAL
315970,Marcus Maddison,ENG
209374,Nuno Da Costa,CPV
156703,Ayub Timbe Masika,KEN
198038,Christian Walton,ENG
330485,Matthew Miazga,USA
162615,Anthony Stewart,ENG
192248,Jamal Blackman,ENG
180527,Michael Ihiekwe,ENG
336675,Dominik Frieser,AUT
310546,Jamie Allen,ENG
190867,Chuba Akpom,ENG
178397,Curtis Thompson,ENG
216590,Ben Wilson,ENG
328247,Philip Zinckernagel,DNK
155953,Paul Arriola,USA
181583,Jordan Archer,SCO
339603,Reece James,ENG
313104,Christy Pym,ENG
313386,Greg Docherty,SCO
184477,Oliver Norburn,GRD
190865,Devante Cole,JAM
166987,Andraž Šporar,SVN
190855,Jordan Graham,ENG
226384,Charlie Wyke,ENG
181861,Gwion Edwards,WAL
333239,Adama Traoré,MLI
158221,Jak Alnwick,ENG
339695,Juan Delgado,CHL
305302,Wes Burns,WAL
329431,Greg Leigh,JAM
340689,Kayden Jackson,ENG
219952,Rhys Healey,ENG
333595,Lucas Olaza,URY
188355,Rodri Tarín,ESP
339909,Guillermo Maripán,CHL
175581,Manu García,ESP
223232,Wu Lei,CHN
175409,Javi Moyano,ESP
218616,Portu,ESP
158293,Kenneth Omeruo,NGA
340519,Jonathan Calleri,ARG
330677,Jason,ESP
330939,Burgui,ESP
182001,Yannick Carrasco,BEL
175415,Edgar Méndez,ESP
190137,Rafa Soares,PRT
180515,Rubén Blanco,ESP
328145,Adnan Januzaj,BEL
211122,Roberto Torres,ESP
316406,Antonio Puertas,ESP
158397,Ramon Azeez,NGA
168745,Rodrigo Ely,BRA
175139,Jorge Miramón,ESP
217384,Sergio Postigo,ESP
212074,Roger Martí,ESP
337671,Nabil Fekir,FRA
188407,Sandro Ramírez,ESP
325355,José María Giménez,URY
191182,Thomas Lemar,FRA
307702,Djené,TGO
306498,Santi Mina,ESP
227922,José Luis Gayà,ESP
331449,Nemanja Maksimović,SRB
182243,Roque Mesa,ESP
190147,Rony Lopes,PRT
173883,Iñigo Martínez,ESP
192430,Carlos Clerc,ESP
156401,Óscar Duarte,CRI
174519,Guido Carrillo,ARG
316152,Ángel Correa,ARG
194446,Nemanja Radoja,SRB
204790,Héctor Herrera,MEX
220131,Zouhair Feddal,MAR
329563,Rubén Sobrino,ESP
330675,Unai García,ESP
175753,Mariano Díaz,DOM
174059,Damian Kądzior,POL
156640,Jens Jønsson,DNK
158257,Rodrigo Battaglia,ARG
177931,Juan Carlos,ESP
187481,David Ferreiro,ESP
175185,Pere Milla,ESP
329597,Helibelton Palacios,COL
155952,Gastón Silva,URY
333243,Youssouf Koné,MLI
341097,Jeremías Ledesma,ARG
106293,Juan Sánchez Miño,ARG
830018,Jeison Lucumí,COL
949830,Tomás Tavares,PRT
115718,Abdoulay Diaby,MLI
796315,Kingsley Fobi,GHA
950077,Daniel Plomer,ESP
845786,Jota,PRT
919367,Edgar Sevikyan,ARM
842255,Idrissa Doumbia,CIV
920684,Jordan Holsgrove,SCO
357734,Ferro,PRT
318653,Moussa Dembélé,FRA
990688,Josete Miranda,GNQ
169549,Anthony Lozano,HND
897598,Ante Palaversa,HRV
165677,Thiago Galhardo,BRA
326471,Gerard Gumbau,ESP
211064,Sergio Rico,ESP
307082,Awer Mabil,AUS
188107,Predrag Rajković,SRB
311462,Fabrizio Angileri,ARG
319735,Viktor Tsygankov,UKR
331575,Alexander Callens,PER
175485,Willy,ESP
175959,Lucien Owona,CMR
334149,Karim Azamoum,FRA
177173,Tekio,ESP
175243,Mikel Iribas,ESP
175101,Carlos Ruiz,ESP
313014,Borja Galán González,ESP
327277,Ager Aketxe,ESP
187869,Mamadou Koné,CIV
175563,Carlos,ESP
175949,Dani Barrio,ESP
212172,Guillermo,ESP
212076,Richard Boateng,GHA
166735,Pape Maly Diamanka,SEN
156580,Uroš Đurđević,MNE
219558,Aitor García,ESP
157649,Serhii Miakushko,UKR
227912,Ivan Calero,ESP
318619,Cristian Cedrés,ESP
176021,David Simón,ESP
311482,Jozabed Sánchez,ESP
326611,José Antonio Caro,ESP
175211,Odei Onaindia,ESP
177591,Bernardo,ESP
187283,David Rocha,ESP
188349,Ander Cantero,ESP
225130,Deivid,ESP
159773,Serge Leuko,CMR
312668,Nestor,ESP
330673,Maikel Mesa,ESP
330037,Uche Agbo,NGA
340767,Cristian Lopez,ESP
218518,Juanto Ortuño,ESP
339115,Michael Santos,URY
193946,Víctor García,VEN
182023,Otar Kakabadze,GEO
174525,Gustavo Blanco,ARG
156569,Giorgi Aburjania,GEO
335353,Kevin Bua,CHE
223570,Jano,ESP
1104082,Teddy,ENG
175809,Aitor Arregi,ESP
212104,Alejandro Gálvez,ESP
175209,Aitor Aldalur,ESP
1084644,Carlos Gilbert,ESP
226428,Mikel Agu,NGA
208732,Jimmy Giraudon,FRA
308152,Pol García,ESP
174943,Carlos Izquierdoz,ARG
162623,Ruben Bover Izquierdo,ESP
166499,Bruno Pirri,BRA
168863,Christos Albanis,GRC
169317,Sinan Bakış,TUR
155975,Guillermo De Amores,URY
333145,Ryan Edwards,AUS
188369,Álvaro Bustos,ESP
188335,Stefan Simić,CZE
16508,Paul Baysse,FRA
51340,Laurent Koscielny,FRA
152734,Maxime Poundjé,FRA
552686,Otávio,BRA
3209,Jimmy Briand,FRA
826201,Alban Lafont,FRA
40677,Fábio,BRA
794836,Andrei Girotto,BRA
106496,Nicolas Pallois,FRA
816115,Charles Traoré,MLI
938270,Abdoul Kader Bamba,FRA
799216,Pedro Chirivella,ESP
330051,Moses Simon,NGA
159701,Kalifa Coulibaly,MLI
965353,Bridge Ndilu,FRA
123164,Dennis Appiah,FRA
785418,Marcus Coco,GLP
1005171,Ahmad Toure Ngouyamsa,TCD
31993,Bruno Ecuele Manga,GAB
122815,Wesley Lautoa,NCL
880525,Ngonda Muzinga,COD
309510,Jordan Marié,FRA
786029,Didier N'Dong,GAB
845274,Mounir Chouiar,FRA
122811,Romain Amalfitano,FRA
51299,Frédéric Sammaritano,FRA
361314,Paul Bernardoni,FRA
121180,Abdoulaye Bamba,CIV
25506,Ismaël Traoré,CIV
73979,Romain Thomas,FRA
366760,Souleyman Doumbia,CIV
14142,Thomas Mangani,FRA
831400,Mathias Pereira Lage,PRT
812126,Casimir Ninga,TCD
209768,Pierrick Capelle,FRA
930584,Farid El Melali,DZA
27622,José Fonte,PRT
51665,Benjamin André,FRA
858705,Xeka,PRT
935564,Jonathan David,CAN
18864,Burak Yılmaz,TUR
840451,Luiz Araújo,BRA
74083,Damien Da Silva,FRA
123264,Jonas Martin,FRA
51652,Steven​ N'Zonzi,FRA
324399,Benjamin Bourigeaud,FRA
846445,Martin Terrier,FRA
312388,Flavien Tait,FRA
825681,Romain Del Castillo,FRA
155717,Paul Nardi,FRA
791048,Julien Laporte,FRA
16429,Jérémy Morel,MDG
99945,Vincent Le Goff,FRA
984014,Enzo Le Fée,FRA
26890,Fabien Lemoine,FRA
834881,Stéphane Diarra,FRA
827386,Quentin Boisgard,FRA
282095,Adrian Grbić,AUT
296434,Laurent Abergel,FRA
16460,Sylvain Marveaux,FRA
857471,Pierre-Yves Hamel,FRA
24201,Eiji Kawashima,JPN
51444,Lamine Koné,CIV
122922,Lionel Carole,FRA
829093,Ibrahima Sissoko,MLI
94822,Sanjin Prcić,BIH
141080,Kenny Lala,MDG
231946,Adrien Thomasson,FRA
914660,Mehdi Chahiri,FRA
289977,Alexander Djiku,GHA
109851,Majeed Waris,GHA
891793,Kévin Zohi,MLI
102291,Idriss Saadi,DZA
249859,Walter Benítez,ARG
796279,Jordan Lotomba,CHE
923186,Robson Bambu,BRA
3577,Dante,BRA
904832,Khéphren Thuram,FRA
822877,Alexis Claude-Maurice,FRA
859026,Amine Gouiri,DZA
877978,Andy Pelmard,FRA
39224,Jean-Louis Leca,FRA
369650,Jonathan Gradit,FRA
860307,Facundo Medina,ARG
836678,Clément Michelin,FRA
51363,Yannick Cahuzac,FRA
1047364,Ismaël Boura,COM
46387,Gaël Kakuta,COD
788921,Florian Sotoca,FRA
890329,Ignatius Ganago,CMR
191178,Corentin Jean,FRA
825945,Simon Banza,COD
593546,Tony Mauricio,FRA
291695,Issiaga Sylla,GIN
44563,Pedro Mendes,PRT
3420,Vitorino Hilton,BRA
5585,Daniel Congré,FRA
93570,Arnaud Souquet,FRA
123229,Jordan Ferri,FRA
156682,Teji Savanier,FRA
38688,Damien Le Tallec,FRA
149730,Gaëtan Laborde,FRA
84744,Andy Delort,DZA
976396,Joris Chotard,FRA
48535,Anthony Lopes,PRT
36704,Marcelo,BRA
352664,Jason Denayer,BEL
552680,Léo Dubois,FRA
859027,Maxence Caqueret,FRA
927975,Jean Lucas,BRA
906075,Melvin Bard,FRA
155995,Marquinhos,BRA
142680,Julian Draxler,DEU
96368,Juan Bernat,ESP
352916,Presnel Kimpembe,FRA
954059,Bandiougou Fadiga,FRA
32668,Alexandre Oukidja,DZA
73188,John Boye,GHA
822703,Mamadou Fofana,MLI
122921,Vincent Pajot,FRA
359246,Habib Maïga,CIV
153218,Thomas Delaine,FRA
229722,Farid Boulaya,DZA
880775,Ibrahima Niane,SEN
802159,Habib Diallo,SEN
250453,Opa Nguette,SEN
862821,Youssef Maziz,MAR
356024,Thierry Ambrose,GLP
156009,Victorien Angban,CIV
27029,Steve Mandanda,FRA
48335,Hiroki Sakai,JPN
150212,Álvaro González,ESP
581314,Valentin Rongier,FRA
14216,Dimitri Payet,FRA
140992,Valère Germain,FRA
9086,Jessy Moulin,FRA
3579,Mathieu Debuchy,FRA
1006486,Yvann Maçon,FRA
760618,Denis Bouanga,GAB
941161,Charles Abi,FRA
74139,Romain Hamouma,FRA
990227,Aimen Moueffek,MAR
862194,Zaydou Youssouf,COM
942839,Alpha Sissoko,FRA
1012657,Lucas Gourna-Douath,FRA
794269,Jeff Reine-Adélaïde,FRA
208234,Fouad Chafik,MAR
827140,Anibal Chalá,ECU
27069,Romain Salin,FRA
283083,Adrien Hunou,FRA
911851,Yann Gboho,FRA
159739,Ambroise Oyongo,CMR
365358,Dimitri Liénard,FRA
962374,Eddy Sylvestre,FRA
988732,Alexis Trouillet,FRA
825959,Dario Marešić,AUT
178721,Yunis Abdelhamid,MAR
831781,Ghislain Konan,CIV
845750,Moreto Cassama,GNB
789984,Dereck Kutesa,CHE
157029,Xavier Chavalerin,FRA
894733,Marshall Munetsi,ZWE
816810,Mathieu Cafaro,FRA
227892,Arbër Zeneli,XKX
855847,Kaj Sierhuis,NLD
827804,Yusuf Yazıcı,TUR
37761,Jérémy Pied,FRA
153220,Stéphane Bahoken,CMR
757730,Antonin Bobichon,FRA
67308,Loris Benito,CHE
787827,Matthieu Udol,FRA
991359,Papa Ndiaga Yade,MRT
942834,Cheick Tidiane Sabaly,SEN
579576,Ruben Aguilar,FRA
945062,Youssouf Fofana,FRA
318963,Aleksandr Golovin,RUS
364618,Gelson Martins,PRT
119192,Wissam Ben Yedder,FRA
809220,Henry Onyekuru,NGA
944164,Sofiane Diop,MAR
156004,Jean-Eudes Aholou,CIV
877979,Willem Geubbels,FRA
806076,Ludovic Blas,FRA
73056,Mehdi Abeid,DZA
331753,Renaud Emond,BEL
146659,Baptiste Reynet,FRA
247445,Renaud Ripart,FRA
143871,Loïck Landre,GLP
144976,Pablo Martinez,FRA
606530,Birger Meling,NOR
51349,Lucas Deaux,FRA
546416,Andrés Cubas,PRY
842400,Zinedine Ferhat,DZA
307096,Romain Philippoteaux,FRA
862470,Kévin Denkey,TGO
796082,Sidy Sarr,SEN
16635,Kévin Monnet-Paquet,RWA
940328,Jean-Philippe Krasso,CIV
869839,Umut Bozok,TUR
810526,Gautier Larsonneur,FRA
845930,Jean-Kevin Duverne,HTI
32664,Ludovic Baal,GUF
580642,Haris Belkebla,DZA
44213,Gaëtan Charbonnier,FRA
1047296,Jérémy Le Douaron,FRA
51471,Julien Faussurier,FRA
861324,Hugo Magnetti,FRA
