face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\914276_face0.jpg,Black,Black,Male,20-29,"[4.7102340e-06 9.9949431e-01 1.7970918e-04 3.1882642e-08 1.3720262e-06
 2.0974799e-04 1.1020223e-04]",[1.0465989e-06 9.9998808e-01 9.2505780e-07 1.0007919e-05],[1.0000000e+00 2.7104583e-08],"[6.2145662e-09 2.0417619e-06 4.2998805e-03 8.2148594e-01 1.7132394e-01
 2.8769486e-03 1.1153995e-05 1.0925586e-07 3.2170533e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\914309_face0.jpg,Black,Black,Male,30-39,"[2.4228294e-03 5.5614138e-01 3.9143169e-01 9.3867107e-05 3.5675324e-03
 4.4339109e-02 2.0036304e-03]",[0.01126732 0.9319235  0.01159819 0.04521096],[9.9999988e-01 1.2857176e-07],"[3.6465207e-07 1.4021067e-05 2.6165124e-03 4.6385196e-01 5.1009923e-01
 2.3239397e-02 1.7743709e-04 1.0522044e-06 9.5947765e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\914313_face0.jpg,White,White,Male,20-29,"[9.7329152e-01 3.9751799e-06 3.9244560e-03 1.7224858e-04 1.2994814e-04
 4.7338026e-04 2.2004440e-02]",[9.9947947e-01 1.7494825e-06 1.5383301e-04 3.6490979e-04],[9.9999666e-01 3.3002009e-06],"[1.6088812e-07 3.5062978e-05 1.2956436e-02 9.0366387e-01 8.2758695e-02
 5.8456202e-04 1.1832910e-06 7.7934112e-09 1.9764011e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\914399_face0.jpg,White,White,Male,20-29,"[9.9680591e-01 1.1153712e-06 4.6370333e-04 5.5934201e-05 2.1821599e-05
 4.3085402e-05 2.6085270e-03]",[9.9866354e-01 2.5554420e-05 3.5854170e-04 9.5250638e-04],[9.9999756e-01 2.4882218e-06],"[1.6288305e-06 1.2542502e-04 2.7588058e-02 9.0380239e-01 6.7593560e-02
 8.8549161e-04 3.3077972e-06 5.4336329e-08 1.2647619e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\914412_face0.jpg,Black,Black,Male,30-39,"[1.4237827e-05 9.9583387e-01 2.0617072e-03 6.7733833e-07 5.0495069e-05
 1.9863169e-03 5.2744970e-05]",[1.3150375e-05 9.9746132e-01 8.4106134e-05 2.4414307e-03],[9.9999994e-01 4.1384887e-08],"[6.37048103e-08 3.22987347e-07 3.40028171e-04 1.78370580e-01
 6.29719496e-01 1.80237472e-01 1.10836355e-02 2.43970295e-04
 4.39298128e-06]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\914419_face0.jpg,White,White,Male,20-29,"[6.2350029e-01 1.0846267e-03 8.6387634e-02 2.9456403e-05 1.1194485e-04
 4.6551492e-04 2.8842047e-01]",[0.7196826  0.25867066 0.0010831  0.02056368],[9.9999964e-01 3.4916596e-07],"[1.6770470e-07 1.2897175e-05 6.3466704e-03 7.6978296e-01 2.1974684e-01
 4.0845410e-03 2.5644531e-05 3.2149947e-07 4.3478883e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\914477_face0.jpg,Middle Eastern,Black,Male,30-39,"[1.2268880e-02 2.2302826e-01 2.4927862e-01 1.8890589e-04 3.0968967e-03
 8.4335856e-02 4.2780253e-01]",[0.00738956 0.9405826  0.00327701 0.04875081],[9.9998540e-01 1.4610798e-05],"[1.4375420e-06 3.8320199e-05 2.4014213e-03 3.7812513e-01 5.8914196e-01
 3.0116692e-02 1.7203341e-04 2.9918262e-06 7.3729616e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\914481_face0.jpg,White,White,Male,20-29,"[8.8113338e-01 5.9656515e-03 8.9699268e-02 2.1678917e-04 9.9160126e-04
 3.4554029e-04 2.1647830e-02]",[9.5140630e-01 4.7330927e-02 6.6651759e-04 5.9620413e-04],[9.9999523e-01 4.7710782e-06],"[2.7905043e-07 1.6526010e-05 1.7253259e-02 6.9895977e-01 2.2923827e-01
 4.8272353e-02 6.1072139e-03 1.4914545e-04 3.2290111e-06]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\914487_face0.jpg,Black,Black,Male,20-29,"[1.3416930e-03 7.7702099e-01 2.0594536e-01 1.1738604e-04 8.1656938e-03
 4.7330391e-03 2.6758178e-03]",[3.5968778e-04 9.9691403e-01 1.5194989e-03 1.2067666e-03],[9.9999988e-01 1.0999193e-07],"[5.8318605e-08 6.0203861e-06 2.3435462e-02 8.7078333e-01 1.0383010e-01
 1.9272703e-03 1.7528377e-05 3.1205957e-07 6.6682242e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\914501_face0.jpg,White,White,Male,20-29,"[9.9160236e-01 1.6777671e-05 4.3420908e-03 2.5464069e-05 5.6327546e-05
 9.3648496e-06 3.9475081e-03]",[9.99141157e-01 1.62216180e-04 5.79384388e-04 1.17189586e-04],[9.9999201e-01 8.0181635e-06],"[1.03861346e-07 8.49910430e-05 1.37481108e-01 8.43473852e-01
 1.84404347e-02 5.09916863e-04 9.34340824e-06 2.77205629e-07
 4.19443857e-09]"
