"","face_name_align","race","race4","gender","age","race_scores_fair","race_scores_fair_4","gender_scores_fair","age_scores_fair"
"1","906075","White","White","Male","30-39","[9.9954623e-01 4.7377953e-06 2.8342765e-04 1.1588757e-05 2.8882758e-05
 5.9131585e-06 1.1915355e-04]","[9.9954146e-01 1.3643784e-04 2.8873462e-04 3.3318203e-05]","[1.0000000e+00 1.0376123e-08]","[3.7337918e-06 5.8074915e-05 3.7090697e-03 3.2824954e-01 5.4941493e-01
 1.1345089e-01 5.0596064e-03 5.3101932e-05 9.9880720e-07]"
"2","313264","White","White","Male","30-39","[9.9953473e-01 8.4325677e-07 4.5192533e-05 1.1916427e-06 3.4470609e-06
 9.1460311e-07 4.1372993e-04]","[9.9994898e-01 2.3778088e-05 1.5707967e-05 1.1555477e-05]","[9.9999976e-01 2.2495291e-07]","[7.2866976e-07 8.2058532e-06 6.5752125e-04 1.6671799e-01 7.1817982e-01
 1.1266963e-01 1.7544571e-03 1.1374618e-05 3.2294400e-07]"
"3","1112796","Black","Black","Male","30-39","[5.7050295e-04 8.7894416e-01 9.0416580e-02 2.0071393e-05 6.5694225e-04
 2.5291201e-02 4.1005374e-03]","[1.6295064e-04 9.8703957e-01 1.6341184e-03 1.1163356e-02]","[1.000000e+00 1.657774e-08]","[2.7704812e-07 6.8168288e-06 2.8949808e-03 3.7135819e-01 5.1752883e-01
 1.0537978e-01 2.8023336e-03 2.8510913e-05 3.1746794e-07]"
"4","1394004","Black","Black","Male","20-29","[1.1052415e-06 9.9996006e-01 4.3564787e-06 1.4301725e-08 2.5470277e-07
 3.3307944e-05 7.6163610e-07]","[5.6840408e-06 9.9997807e-01 2.1307428e-06 1.4047707e-05]","[9.9999964e-01 3.8604571e-07]","[2.0591595e-09 8.5713509e-07 3.2528045e-03 7.7710289e-01 2.1485041e-01
 4.7576451e-03 3.5180263e-05 1.8005018e-07 4.7324571e-09]"
"5","855847","White","White","Male","20-29","[9.8500019e-01 1.7593835e-05 7.9617556e-04 5.8640808e-06 1.1642877e-05
 2.1081709e-05 1.4147485e-02]","[9.9933338e-01 2.1477707e-04 9.0458125e-05 3.6135010e-04]","[9.9999976e-01 2.7739540e-07]","[5.6153983e-08 4.2117237e-05 1.5775213e-02 9.1528159e-01 6.8059750e-02
 8.3979068e-04 1.4782519e-06 1.6384655e-08 2.2830861e-10]"
"6","14570","Latino_Hispanic","White","Male","30-39","[1.15958326e-01 2.91673467e-03 8.24179828e-01 1.00589219e-04
 4.51674190e-04 3.27013643e-03 5.31226918e-02]","[0.57165915 0.39316055 0.00812911 0.02705123]","[9.999993e-01 7.109751e-07]","[9.1543779e-07 5.1931679e-06 9.9906418e-04 4.5899101e-02 4.9601355e-01
 4.1720715e-01 3.9428525e-02 4.4404724e-04 2.4143771e-06]"
"7","1417890","Black","Black","Male","20-29","[2.5348390e-06 9.9995536e-01 2.9845542e-05 8.9569090e-09 1.8324542e-07
 6.2466206e-06 5.7898756e-06]","[2.7877650e-07 9.9999613e-01 1.6458969e-06 1.8783368e-06]","[9.9999994e-01 6.7838499e-08]","[8.84883207e-08 1.92220701e-04 4.93326932e-02 8.54305744e-01
 9.45286080e-02 1.63389859e-03 6.56588963e-06 1.15995114e-07
 3.20234617e-09]"
"8","856737","Latino_Hispanic","White","Male","20-29","[4.1621942e-02 4.6794560e-02 5.4467285e-01 3.8458116e-04 1.8740441e-03
 1.7763352e-02 3.4688872e-01]","[0.42520028 0.3716325  0.00510917 0.198058  ]","[9.999993e-01 7.183591e-07]","[4.5766566e-07 7.2617695e-06 6.8560508e-03 6.5050006e-01 3.2872990e-01
 1.3715723e-02 1.8645187e-04 4.0495152e-06 5.3106429e-08]"
"9","1142672","Latino_Hispanic","Black","Male","20-29","[7.3191807e-02 3.0553815e-01 4.7060966e-01 3.4126843e-04 2.6038301e-03
 4.4659548e-03 1.4324932e-01]","[0.23025268 0.7232161  0.01734565 0.02918564]","[9.9999988e-01 1.0541252e-07]","[4.8067443e-07 1.8747747e-05 9.9423621e-03 8.0955327e-01 1.7426966e-01
 6.1026881e-03 1.1003132e-04 2.7803642e-06 3.9958852e-08]"
"10","991336","Black","Black","Male","20-29","[1.8123560e-02 8.3702087e-01 1.2807804e-01 1.1278786e-04 1.7187323e-03
 3.1812880e-03 1.1764632e-02]","[1.1496699e-02 9.8360580e-01 8.2378078e-04 4.0737432e-03]","[9.9980652e-01 1.9351712e-04]","[9.1674174e-08 2.6914365e-06 5.1743346e-03 6.3511652e-01 3.5193476e-01
 7.6967962e-03 7.3758245e-05 1.0557176e-06 2.8470005e-08]"
"11","252563","Middle Eastern","White","Male","20-29","[4.5508642e-02 7.6456687e-05 2.5247239e-02 1.4921018e-05 6.2930463e-05
 9.2978217e-03 9.1979194e-01]","[9.1571182e-01 6.8987219e-04 6.0463324e-04 8.2993671e-02]","[9.9999684e-01 3.1584252e-06]","[1.8815074e-06 1.0794470e-04 4.6020579e-03 6.1943465e-01 3.6818308e-01
 7.6549831e-03 1.5176024e-05 2.1471664e-07 3.2248617e-09]"
