"","player_id_sofascore","skin_color_dim3","black"
"1",46714,"Medium",0
"2",131815,"White",0
"3",19063,"White",0
"4",13204,"Medium",0
"5",131716,"White",0
"6",156019,"Black",1
"7",147269,"Medium",0
"8",17966,"White",0
"9",928124,"White",0
"10",126699,"Medium",0
"11",26991,"Black",1
"12",43903,"Medium",0
"13",186845,"White",0
"14",802149,"Black",1
"15",50490,"White",0
"16",137667,"White",0
"17",15444,"White",0
"18",2009,"White",0
"19",84854,"Black",1
"20",4726,"Medium",0
"21",27678,"White",0
"22",5846,"Black",1
"23",47908,"Black",1
"24",19438,"White",0
"25",750,"Medium",0
"26",250737,"White",0
"27",47743,"Black",1
"28",294597,"White",0
"29",329519,"White",0
"30",844480,"White",0
"31",836168,"White",0
"32",158241,"Medium",0
"33",357756,"White",0
"34",590262,"White",0
"35",39482,"Medium",0
"36",587628,"Medium",0
"37",893640,"Medium",0
"38",832208,"White",0
"39",845386,"White",0
"40",8713,"Black",1
"41",249629,"Medium",0
"42",5712,"White",0
"43",592794,"White",0
"44",153257,"Medium",0
"45",41234,"Medium",0
"46",126071,"Black",1
"47",99546,"White",0
"48",40965,"White",0
"49",138605,"White",0
"50",158277,"Medium",0
"51",106258,"White",0
"52",784655,"White",0
"53",32493,"Medium",0
"54",133236,"Medium",0
"55",838232,"White",0
"56",136322,"Medium",0
"57",263651,"White",0
"58",880207,"Medium",0
"59",338991,"Medium",0
"60",331405,"Black",1
"61",44848,"White",0
"62",42147,"White",0
"63",548178,"Medium",0
"64",191188,"Black",1
"65",814589,"White",0
"66",587962,"Medium",0
"67",249399,"White",0
"68",55314,"White",0
"69",824509,"Medium",0
"70",318607,"White",0
"71",34125,"White",0
"72",227864,"Medium",0
"73",67769,"Medium",0
"74",89510,"Medium",0
"75",135700,"Medium",0
"76",839981,"Medium",0
"77",96370,"White",0
"78",188405,"White",0
"79",359226,"Black",1
"80",851284,"Black",1
"81",823733,"Medium",0
"82",76095,"White",0
"83",826707,"Medium",0
"84",131108,"White",0
"85",10122,"White",0
"86",98212,"Medium",0
"87",589620,"White",0
"88",44001,"White",0
"89",49406,"White",0
"90",15635,"White",0
"91",132704,"White",0
"92",123208,"Black",1
"93",187121,"White",0
"94",122711,"White",0
"95",41448,"Medium",0
"96",97978,"White",0
"97",184421,"Medium",0
"98",783716,"White",0
"99",249251,"White",0
"100",130801,"White",0
"101",146613,"White",0
"102",892673,"White",0
"103",5544,"White",0
"104",325129,"White",0
"105",801280,"Black",1
"106",126963,"White",0
"107",151960,"White",0
"108",11657,"White",0
"109",43970,"White",0
"110",332155,"White",0
"111",893642,"White",0
"112",288321,"White",0
"113",32040,"White",0
"114",287573,"White",0
"115",6557,"Medium",0
"116",41157,"White",0
"117",139267,"Medium",0
"118",293581,"Medium",0
"119",187119,"White",0
"120",18083,"Medium",0
"121",359272,"Medium",0
"122",138165,"Medium",0
"123",44906,"White",0
"124",804434,"Medium",0
"125",39348,"Black",1
"126",97404,"Black",1
"127",235400,"Medium",0
"128",822468,"Black",1
"129",29746,"Medium",0
"130",793645,"White",0
"131",80406,"White",0
"132",100580,"Medium",0
"133",15529,"Medium",0
"134",46972,"White",0
"135",100570,"White",0
"136",4370,"Medium",0
"137",548848,"White",0
"138",152420,"Medium",0
"139",27569,"Medium",0
"140",108484,"Black",1
"141",26097,"Medium",0
"142",186855,"White",0
"143",555540,"Medium",0
"144",758876,"Medium",0
"145",864898,"White",0
"146",851596,"Medium",0
"147",14990,"White",0
"148",611210,"White",0
"149",79853,"Medium",0
"150",815202,"White",0
"151",829932,"Medium",0
"152",12673,"Black",1
"153",14251,"Medium",0
"154",19394,"Medium",0
"155",787642,"White",0
"156",10077,"White",0
"157",151470,"White",0
"158",541574,"Medium",0
"159",826198,"White",0
"160",812946,"Black",1
"161",877103,"Medium",0
"162",2695,"Medium",0
"163",318603,"White",0
"164",109461,"White",0
"165",238408,"Black",1
"166",148745,"Medium",0
"167",189135,"White",0
"168",21992,"White",0
"169",839818,"Black",1
"170",53816,"Medium",0
"171",11621,"Medium",0
"172",148458,"Medium",0
"173",569556,"White",0
"174",851222,"Medium",0
"175",284363,"White",0
"176",227212,"Medium",0
"177",273405,"White",0
"178",850035,"Medium",0
"179",126816,"White",0
"180",13592,"White",0
"181",23213,"White",0
"182",331447,"White",0
"183",76122,"Medium",0
"184",111416,"White",0
"185",45923,"White",0
"186",249929,"Medium",0
"187",267619,"White",0
"188",293127,"White",0
"189",317301,"White",0
"190",35656,"White",0
"191",44932,"Medium",0
"192",328103,"White",0
"193",2951,"Medium",0
"194",55119,"Medium",0
"195",139397,"Medium",0
"196",5465,"Medium",0
"197",61445,"White",0
"198",842513,"Black",1
"199",295973,"Medium",0
"200",320979,"White",0
"201",559470,"White",0
"202",38574,"White",0
"203",14376,"Medium",0
"204",329175,"White",0
"205",151003,"White",0
"206",79680,"White",0
"207",17814,"White",0
"208",356352,"White",0
"209",100389,"White",0
"210",115516,"White",0
"211",377118,"White",0
"212",33381,"White",0
"213",38162,"Black",1
"214",195850,"White",0
"215",119242,"Black",1
"216",82943,"White",0
"217",18954,"Medium",0
"218",165583,"Medium",0
"219",885197,"Black",1
"220",365992,"White",0
"221",14718,"Medium",0
"222",168647,"White",0
"223",46798,"White",0
"224",371222,"Medium",0
"225",43476,"White",0
"226",48077,"White",0
"227",220223,"White",0
"228",800417,"Black",1
"229",158235,"Black",1
"230",139229,"Black",1
"231",38618,"White",0
"232",331853,"Black",1
"233",170887,"White",0
"234",830551,"Medium",0
"235",98003,"Medium",0
"236",46799,"Black",1
"237",363860,"White",0
"238",892924,"Black",1
"239",367056,"Black",1
"240",43905,"White",0
"241",44104,"White",0
"242",836683,"Medium",0
"243",865651,"White",0
"244",2949,"White",0
"245",107936,"Medium",0
"246",49518,"Medium",0
"247",187205,"White",0
"248",27982,"Medium",0
"249",158615,"Medium",0
"250",108800,"White",0
"251",294313,"Medium",0
"252",32742,"Black",1
"253",823984,"Medium",0
"254",78893,"Black",1
"255",363856,"White",0
"256",287057,"White",0
"257",235672,"Medium",0
"258",147467,"White",0
"259",43910,"Medium",0
"260",131916,"White",0
"261",29718,"Medium",0
"262",44003,"White",0
"263",573596,"Medium",0
"264",32985,"Medium",0
"265",142037,"Medium",0
"266",172599,"White",0
"267",96649,"White",0
"268",147368,"White",0
"269",25522,"White",0
"270",41008,"White",0
"271",131342,"White",0
"272",22975,"Medium",0
"273",43941,"Medium",0
"274",190159,"White",0
"275",127000,"White",0
"276",280613,"White",0
"277",100569,"Medium",0
"278",803031,"White",0
"279",124992,"Medium",0
"280",138156,"White",0
"281",256219,"Medium",0
"282",385320,"White",0
"283",27234,"White",0
"284",215956,"Black",1
"285",141664,"White",0
"286",40983,"Medium",0
"287",41270,"White",0
"288",1127439,"Medium",0
"289",592012,"White",0
"290",333589,"Medium",0
"291",26025,"White",0
"292",76063,"White",0
"293",573616,"White",0
"294",826186,"White",0
"295",341143,"White",0
"296",12656,"Medium",0
"297",14933,"White",0
"298",147465,"Medium",0
"299",156566,"White",0
"300",893998,"White",0
"301",385386,"Black",1
"302",347494,"Medium",0
"303",41310,"White",0
"304",350210,"White",0
"305",232224,"Black",1
"306",253367,"White",0
"307",369866,"White",0
"308",135590,"White",0
"309",28142,"White",0
"310",327429,"White",0
"311",133735,"White",0
"312",48563,"White",0
"313",183483,"White",0
"314",28186,"Medium",0
"315",139410,"White",0
"316",791190,"White",0
"317",68076,"White",0
"318",11692,"White",0
"319",97938,"Medium",0
"320",46800,"Medium",0
"321",257587,"Medium",0
"322",830288,"Medium",0
"323",91046,"White",0
"324",43908,"Medium",0
"325",885683,"Black",1
"326",553686,"Black",1
"327",330705,"White",0
"328",126236,"White",0
"329",113700,"White",0
"330",25577,"Medium",0
"331",250547,"White",0
"332",888537,"White",0
"333",19352,"White",0
"334",176615,"Medium",0
"335",44136,"White",0
"336",580638,"White",0
"337",877201,"White",0
"338",100568,"White",0
"339",217784,"White",0
"340",18841,"Black",1
"341",151124,"White",0
"342",148899,"Medium",0
"343",69295,"White",0
"344",148566,"Medium",0
"345",189127,"White",0
"346",15190,"White",0
"347",17799,"White",0
"348",98058,"White",0
"349",132852,"Medium",0
"350",88697,"Black",1
"351",923803,"White",0
"352",233252,"White",0
"353",785444,"White",0
"354",13148,"Black",1
"355",2069,"Medium",0
"356",806968,"Medium",0
"357",23571,"White",0
"358",2033,"White",0
"359",139262,"White",0
"360",788027,"White",0
"361",44138,"Medium",0
"362",100408,"White",0
"363",33596,"Medium",0
"364",115666,"Medium",0
"365",161325,"White",0
"366",797893,"White",0
"367",329417,"Medium",0
"368",41450,"Medium",0
"369",25530,"Black",1
"370",863271,"White",0
"371",122848,"Medium",0
"372",98197,"White",0
"373",126733,"White",0
"374",96702,"Black",1
"375",36784,"White",0
"376",362686,"White",0
"377",189009,"White",0
"378",33903,"White",0
"379",826188,"White",0
"380",826190,"White",0
"381",176301,"Medium",0
"382",916680,"Black",1
"383",352736,"White",0
"384",814624,"White",0
"385",788895,"Black",1
"386",893643,"Black",1
"387",155449,"White",0
"388",839982,"White",0
"389",38533,"Black",1
"390",26937,"White",0
"391",860435,"White",0
"392",361788,"White",0
"393",925133,"Medium",0
"394",796987,"White",0
"395",844234,"White",0
"396",826196,"Medium",0
"397",227866,"White",0
"398",12616,"Medium",0
"399",792312,"White",0
"400",43985,"White",0
"401",356032,"White",0
"402",377302,"White",0
"403",249627,"Black",1
"404",233826,"Medium",0
"405",253387,"White",0
"406",47568,"White",0
"407",46707,"Medium",0
"408",919805,"White",0
"409",152082,"Medium",0
"410",295133,"Medium",0
"411",335887,"White",0
"412",183249,"Medium",0
"413",965008,"White",0
"414",169165,"White",0
"415",931290,"White",0
"416",858148,"White",0
"417",181575,"Black",1
"418",826841,"White",0
"419",139273,"White",0
"420",70930,"Medium",0
"421",373740,"White",0
"422",787404,"White",0
"423",558896,"White",0
"424",840219,"Medium",0
"425",280991,"White",0
"426",596736,"White",0
"427",812829,"White",0
"428",971006,"Black",1
"429",19373,"White",0
"430",284361,"White",0
"431",340525,"White",0
"432",221738,"White",0
"433",552508,"Medium",0
"434",599606,"White",0
"435",148191,"Medium",0
"436",769783,"White",0
"437",947171,"Medium",0
"438",27955,"White",0
"439",816839,"Black",1
"440",930360,"White",0
"441",844498,"White",0
"442",139798,"White",0
"443",960006,"Black",1
"444",937324,"White",0
"445",865798,"White",0
"446",104822,"Black",1
"447",79645,"Medium",0
"448",11654,"White",0
"449",886243,"White",0
"450",2089,"White",0
"451",103156,"Medium",0
"452",871765,"White",0
"453",328109,"White",0
"454",825851,"Black",1
"455",124318,"White",0
"456",13270,"White",0
"457",243175,"Medium",0
"458",362222,"White",0
"459",116623,"Black",1
"460",158621,"Medium",0
"461",148740,"White",0
"462",41444,"Medium",0
"463",24818,"White",0
"464",36912,"Medium",0
"465",914765,"White",0
"466",48543,"White",0
"467",901891,"White",0
"468",2899,"White",0
"469",840510,"White",0
"470",158573,"Black",1
"471",311396,"White",0
"472",782636,"White",0
"473",325121,"White",0
"474",826195,"White",0
"475",148314,"White",0
"476",43852,"Medium",0
"477",556960,"Medium",0
"478",793702,"White",0
"479",954855,"White",0
"480",1023080,"White",0
"481",951927,"Medium",0
"482",827372,"White",0
"483",888949,"Medium",0
"484",991352,"White",0
"485",978285,"Black",1
"486",826192,"Medium",0
"487",928879,"White",0
"488",75994,"White",0
"489",227194,"Black",1
"490",929752,"White",0
"491",942992,"Medium",0
"492",139235,"Black",1
"493",136856,"Medium",0
"494",826185,"White",0
"495",942990,"White",0
"496",80074,"White",0
"497",982601,"White",0
"498",909668,"Medium",0
"499",930191,"White",0
"500",876242,"White",0
"501",1009387,"Medium",0
"502",909669,"White",0
"503",892674,"White",0
